josemar@ARAUTO ~/projects/sn9c103/gspca/elgin $ dmesg | grep gspca
[ 2688.280128] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 28
[ 2688.280353] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 29
[ 2688.280356] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 30
[ 2688.292049] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 31
[ 2688.292207] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 32
[ 2688.292210] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 33
[ 2688.308038] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 34
[ 2688.308238] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 35
[ 2688.308240] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 36
[ 2688.320081] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 37
[ 2688.320353] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 38
[ 2688.320356] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 39
[ 2688.332058] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 40
[ 2688.332376] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 41
[ 2688.332378] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 42
[ 2688.344050] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 43
[ 2688.344350] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 44
[ 2688.344354] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 45
[ 2688.356048] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 46
[ 2688.356233] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 47
[ 2688.356236] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 48
[ 2688.372056] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 49
[ 2688.372363] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 50
[ 2688.372366] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 51
[ 2688.384049] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 52
[ 2688.384267] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 53
[ 2688.384270] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 54
[ 2688.396033] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 55
[ 2688.396247] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 56
[ 2688.396249] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 57
[ 2688.411999] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 58
[ 2688.412247] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 59
[ 2688.412250] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 60
[ 2688.424004] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 61
[ 2688.424225] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 62
[ 2688.424227] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 63
[ 2688.436000] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 64
[ 2688.436209] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 65
[ 2688.436331] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 66
[ 2688.436488] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 67
[ 2688.436616] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 68
[ 2688.436721] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 69
[ 2688.436850] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 70
[ 2688.436978] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 71
[ 2688.437108] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 72
[ 2688.437343] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 73
[ 2688.463979] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 74
[ 2688.463985] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 75
[ 2688.463988] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 76
[ 2688.475956] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 77
[ 2688.476137] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 78
[ 2688.476140] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 79
[ 2688.476142] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 80
[ 2688.487942] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 81
[ 2688.488073] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 82
[ 2688.488075] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 83
[ 2688.488076] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 84
[ 2688.499986] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 85
[ 2688.500122] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 86
[ 2688.500125] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 87
[ 2688.500127] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 88
[ 2688.511972] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 89
[ 2688.512260] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_stopN - 90
[ 2688.512262] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 91
[ 2688.512264] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 92
[ 2688.512812] gspca_elgin_sn9c103 2-1.3:1.0: alt 7 - bandwidth not wide enough, trying again
[ 2688.542428] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 93
[ 2688.542433] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 94
[ 2688.542614] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 95
[ 2688.542727] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 96
[ 2688.543045] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 97
[ 2688.543059] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 98
[ 2688.543061] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 99
[ 2688.551902] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 100
[ 2688.552130] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 101
[ 2688.552133] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 102
[ 2688.563915] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 103
[ 2688.564115] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 104
[ 2688.564118] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 105
[ 2688.579931] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 106
[ 2688.580106] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 107
[ 2688.580109] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 108
[ 2688.591927] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 109
[ 2688.592105] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 110
[ 2688.592107] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 111
[ 2688.603911] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 112
[ 2688.604104] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 113
[ 2688.604106] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 114
[ 2688.619921] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 115
[ 2688.620118] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 116
[ 2688.620120] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 117
[ 2688.631873] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 118
[ 2688.631964] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 119
[ 2688.631966] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 120
[ 2688.643856] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 121
[ 2688.644142] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 122
[ 2688.644145] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 123
[ 2688.655901] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 124
[ 2688.656174] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 125
[ 2688.656188] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 126
[ 2688.667884] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 127
[ 2688.668120] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 128
[ 2688.668123] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 129
[ 2688.679921] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 130
[ 2688.680091] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 131
[ 2688.680094] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 132
[ 2688.691863] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 133
[ 2688.691994] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 134
[ 2688.691997] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 135
[ 2688.703883] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 136
[ 2688.704115] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 137
[ 2688.704118] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 138
[ 2688.719859] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 139
[ 2688.720148] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 140
[ 2688.720150] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 141
[ 2688.731852] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 142
[ 2688.732014] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 143
[ 2688.732016] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 144
[ 2688.743804] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 145
[ 2688.744030] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 146
[ 2688.744033] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 147
[ 2688.755859] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 148
[ 2688.756085] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 149
[ 2688.756087] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 150
[ 2688.767804] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 151
[ 2688.767972] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 152
[ 2688.768101] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 153
[ 2688.768344] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 154
[ 2688.768451] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 155
[ 2688.768575] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 156
[ 2688.768704] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 157
[ 2688.768834] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 158
[ 2688.768960] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 159
[ 2688.769087] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 160
[ 2688.799902] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 161
[ 2688.799908] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 162
[ 2688.799911] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 163
[ 2688.815775] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 164
[ 2688.815967] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 165
[ 2688.815970] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 166
[ 2688.815972] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 167
[ 2688.827752] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 168
[ 2688.827978] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 169
[ 2688.827980] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 170
[ 2688.827983] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 171
[ 2688.839835] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 172
[ 2688.839974] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 173
[ 2688.839977] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 174
[ 2688.839979] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 175
[ 2688.851751] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 176
[ 2688.852016] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_stopN - 177
[ 2688.852020] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 178
[ 2688.852023] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 179
[ 2688.852633] gspca_elgin_sn9c103 2-1.3:1.0: alt 6 - bandwidth not wide enough, trying again
[ 2688.886373] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 180
[ 2688.886392] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 181
[ 2688.886622] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 182
[ 2688.886747] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 183
[ 2688.886976] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 184
[ 2688.886978] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 185
[ 2688.886980] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 186
[ 2688.895947] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 187
[ 2688.896099] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 188
[ 2688.896102] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 189
[ 2688.907720] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 190
[ 2688.907864] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 191
[ 2688.907866] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 192
[ 2688.919708] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 193
[ 2688.919884] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 194
[ 2688.919900] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 195
[ 2688.931763] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 196
[ 2688.931995] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 197
[ 2688.931998] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 198
[ 2688.943711] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 199
[ 2688.943869] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 200
[ 2688.943871] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 201
[ 2688.955719] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 202
[ 2688.955873] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 203
[ 2688.955875] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 204
[ 2688.971686] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 205
[ 2688.971834] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 206
[ 2688.971836] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 207
[ 2688.983687] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 208
[ 2688.983847] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 209
[ 2688.983849] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 210
[ 2688.995673] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 211
[ 2688.995851] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 212
[ 2688.995867] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 213
[ 2689.007733] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 214
[ 2689.008154] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 215
[ 2689.008157] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 216
[ 2689.019677] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 217
[ 2689.019862] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 218
[ 2689.019865] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 219
[ 2689.031674] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 220
[ 2689.031841] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 221
[ 2689.031843] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 222
[ 2689.043883] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 223
[ 2689.044109] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 224
[ 2689.044113] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 225
[ 2689.055672] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 226
[ 2689.055851] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 227
[ 2689.055855] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 228
[ 2689.071649] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 229
[ 2689.071879] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 230
[ 2689.071882] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 231
[ 2689.087636] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 232
[ 2689.087870] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 233
[ 2689.087873] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 234
[ 2689.099636] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 235
[ 2689.099858] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 236
[ 2689.099862] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 237
[ 2689.111612] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 238
[ 2689.111840] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 239
[ 2689.111978] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 240
[ 2689.112104] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 241
[ 2689.112562] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 242
[ 2689.112818] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 243
[ 2689.112979] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 244
[ 2689.113108] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 245
[ 2689.113349] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 246
[ 2689.113463] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 247
[ 2689.139625] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 248
[ 2689.139632] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 249
[ 2689.139647] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 250
[ 2689.151619] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 251
[ 2689.151858] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 252
[ 2689.151862] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 253
[ 2689.151864] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 254
[ 2689.167817] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 255
[ 2689.168468] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 256
[ 2689.168471] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 257
[ 2689.168473] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 258
[ 2689.179602] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 259
[ 2689.179733] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 260
